nome;telefone;email;site
El Rosedal;+54 11 52357173;Elrosedal@parque.ar;https://turismo.buenosaires.gob.ar/es/atractivo/rosedal-de-palermo
Schloss Mirabell;+43 662 80720;tourist@salzburg.info;http://www.salzburg.info/de/sehenswertes/festung_schloesser/schloss_mirabell_mirabellgarten
Jardim Botanico;+55 21 38741214;cvis@jbrj.gov.br;http://visit.rio/en/que_fazer/jardim-botanico-4/
Jardim do Instituto Inhotim;+55 31 35717328;info@inhotim.org.br.;https://www.inhotim.org.br/
Jardim Bot�nico de Curitiba;+55 41 33621800;jardimbotanico@curitiba.pr.gov.br;https://www.curitiba.pr.gov.br/conteudo/jardim-botanico/287
Parque do Carmo;+55 11 27480010;Docarmo@parque.com.br;https://www.prefeitura.sp.gov.br/cidade/secretarias/meio_ambiente/parques/regiao_leste/index.php?p=5734
Ceret Parque;+55 11 26721240;ceret@parque.com.br;http://www.ceret.com.br/
Tingui Parque;+55 41 33281442;tingui@parque.com.br;http://www.curitiba.pr.gov.br/conteudo/parques-e-bosques-parque-tingui/321
St. Lawrence Parque;+55 41 32553824;lawrence@parque.com.br;http://www.curitiba.pr.gov.br/conteudo/parques-e-bosques-parque-sao-lourenco/317
Casa das Rosas;+55 11 32856986;contato@casadasrosas.org.br;http://www.casadasrosas.org.br/
Parque da Sementeira;+55 79 30219900;Parquedasementeira@aracaju.com;http://www.Parquedasementeira.org.br/
Parque Municipal das Mangabeiras;+55 31 32778277;Mangabeiras@bh.com;http://pbh.gov.br/parquesezoobotanica
Parque�Amantikir;+55 12 996346784;amantikir2007@gmail.com;http://www.parqueamantikir.com.br/
The Butchart Gardens;+1 2506524422;TheButchart@Gardens.ca;https://www.butchartgardens.com/
Montreal Botanical Garden;+1 5148683000;amelie.dumont@montreal.ca;https://espacepourlavie.ca/jardin-botanique
Quai Branly Museum;+33 1 56 61 70 00;QuaiBranly@Museum.fr;http://www.quaibranly.fr/
Pal�cio de Versalhes ;+33 1 30 83 78 00;Chateau@versailles.fr;http://www.chateauversailles.fr/
Botanical Garden and Botanical Museum;+49 30 83850100;�f.krug@bgbm.org(Link sendet E-Mail);https://www.bgbm.org/
Bah�� Gardens Haifa;+972 48313131;ganbahai@bwc.org;http://ganbahai.org.il/
Koishikawa Korakunen;+81 338113015;KoishikawaKorakunen@park.jp;https://www.tokyo-park.or.jp/park/format/index030.html
Jardin Majorelle;+212 524298686;jardinmajorelle@email.com;http://www.jardinmajorelle.com/
Keukenhof;+31 252 465555;info@keukenhof.nl;https://keukenhof.nl/en/
Kirstenbosch National Botanical Garden;+27 21 799 8783;sanbi@behonest.co.za;https://www.sanbi.org/gardens/kirstenbosch/
Nong Nooch Tropical Garden;+66 81 919 2153;Nongnoochtropicalgarden@site.com;https://nongnooch-botanical-garden.business.site/?utm_source=gmb&utm_medium=referral
Dubai Miracle Garden;+971 4 422 8902;info@dubaimiraclegarden.com;http://www.dubaimiraclegarden.com/
Chatsworth House;+44 1246 565300;Chatsworth@house.en;https://www.chatsworth.org/
Royal Botanic Gardens;+44 20 8332 5655;wakehurst@kew.org;https://www.kew.org/
Huntington Library ;+1 6264052100;Huntington@library.us;https://www.huntington.org/
Desert Botanical Gardens;+1 4809411225;contact@dbg.org;https://www.dbg.org/
Na Aina Kai Botanical Gardens & Sculpture Park;+1 8088280525;NaAinaKai@BotanicalGardens.com;http://naainakai.org/
